sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U07,C,C01,0.0,S006→S007,2404.598,4.285813,46.427,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03;S007-FOD-01;S007-HYG-01;S007-WAT-02
T002,U08,C,C02,0.0,S001,1495.426,2.621086,67.236,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-06;S001-WAT-07;S001-WAT-08
T003,U08,C,C03,1495.426,S002,3610.508,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T004,U05,B,B01,0.0,S006,1209.98,1.098424,72.539,S006-MED-01;S006-WAT-01
T005,U06,B,B02,0.0,S013,1440.969,1.632661,59.183,S013-MED-01;S013-WAT-01
T006,U07,C,C04,2404.598,S001,3900.024,2.672703,66.591,S001-HYG-01;S001-HYG-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T007,U08,C,C02,3610.508,S003,6046.317,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T008,U05,B,B03,1209.98,S010→S014,3317.261,2.265766,43.356,S010-MED-01;S010-WAT-01;S014-FOD-01
T009,U01,A,A01,0.0,S009→S002,2281.46,3.00442,33.235,S009-MED-01;S002-MED-01;S002-WAT-01
T010,U02,A,A02,0.0,S007,1712.442,1.899072,57.798,S007-MED-01;S007-WAT-01
T011,U06,B,B04,1440.969,S014→S010,3548.25,2.322729,41.932,S014-MED-01;S014-WAT-01;S010-FOD-01
T012,U03,A,A03,0.0,S012,2130.639,2.969256,34.017,S012-MED-01;S012-WAT-01
T013,U04,A,A04,0.0,S001,1312.471,1.268023,71.822,S001-MED-01;S001-MED-02;S001-WAT-01
T014,U07,C,C01,4398.672,S004,6571.856,5.540004,30.75,S004-FOD-01;S004-HYG-01;S004-WAT-02;S004-WAT-03
T015,U05,B,B01,3317.261,S008,5275.302,2.982875,25.428,S008-FOD-01;S008-MED-01;S008-WAT-01
T016,U06,B,B02,3548.25,S008,5446.292,2.77042,30.739,S008-HYG-01;S008-WAT-02
T017,U04,A,A05,1312.471,S004,3496.43,3.098647,31.141,S004-MED-01;S004-WAT-01
T018,U02,A,A06,1712.442,S003→S015,4260.483,3.089952,31.334,S003-MED-01;S015-MED-01
T019,U03,A,A04,2178.789,S011,3402.324,1.15549,74.322,S011-MED-01;S011-WAT-01
T020,U05,B,B03,5275.302,S015→S003,7558.434,3.0883,22.792,S015-WAT-01;S003-WAT-01
T021,U01,A,A02,2761.062,S005,4456.82,2.129519,52.677,S005-MED-01;S005-WAT-01
T022,U03,A,A03,3488.424,S013→S012,5832.271,2.98926,33.572,S013-FOD-01;S012-FOD-01
T023,U04,A,A01,3649.404,S005,5345.162,2.201456,51.079,S005-FOD-01;S005-WAT-02
T024,U06,B,B04,5446.292,S005,6965.316,1.841574,53.961,S005-HYG-01;S005-WAT-03
T025,U02,A,A04,4260.483,S009,5892.017,2.22377,50.583,S009-WAT-01
T026,U01,A,A05,4891.595,S015,6801.805,2.364455,47.457,S015-FOD-01
T027,U04,A,A02,5572.015,S009,7203.549,2.164473,51.901,S009-FOD-01
T028,U03,A,A06,5832.271,S011,6995.806,1.104775,75.449,S011-FOD-01
