id,model,drone,battery,start,return_time,battery_ready,energy_kwh,return_soc,visits
T001,C,U08,C04,0.0,1561.4261775174655,3150.0928537629516,2.788923112291026,0.6513846109636218,"[[""S001"", [""S001-FOD-01"", ""S001-FOD-02"", ""S001-FOD-03"", ""S001-HYG-01"", ""S001-WAT-06"", ""S001-WAT-07"", ""S001-WAT-08""]]]"
T007_HARD,A,U03,A06,0.0,1712.4416357195464,2761.062337358848,1.8990716595206591,0.5779840756620758,"[[""S007"", [""S007-MED-01"", ""S007-WAT-01""]]]"
T007_SOFT,A,U01,A05,0.0,1712.4416357195464,2779.9496716386757,1.9644508935662177,0.5634553569852849,"[[""S007"", [""S007-FOD-01"", ""S007-WAT-02""]]]"
T002_2,B,U06,B03,0.0,1500.9693925601796,2956.647180248775,1.82079489466599,0.5448012763335025,"[[""S013"", [""S013-MED-01"", ""S013-WAT-01"", ""S013-FOD-01""]]]"
T003,C,U07,C03,0.0,1429.4261775174655,2947.606630665684,2.52866628854727,0.6839167139315913,"[[""S001"", [""S001-HYG-02"", ""S001-WAT-02"", ""S001-WAT-03"", ""S001-WAT-04"", ""S001-WAT-05""]]]"
T004,A,U03,A04,2004.1116402352563,4285.571599071648,5653.51522085003,3.0044202292328617,0.3323510601704752,"[[""S009"", [""S009-MED-01""]], [""S002"", [""S002-MED-01"", ""S002-WAT-01""]]]"
T005,A,U02,A03,0.0,1312.470877312685,2178.7887122874713,1.2680232749127218,0.7182170500193952,"[[""S001"", [""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-01""]]]"
T009,A,U04,A02,0.0,1316.0142144169886,2207.8690163260853,1.3564204681468741,0.6985732293006947,"[[""S006"", [""S006-FOD-01"", ""S006-WAT-01""]]]"
T011,B,U05,B04,0.0,1944.0244440219892,3808.1313217671122,2.763323564027206,0.3091691089931985,"[[""S012"", [""S012-MED-01"", ""S012-WAT-01"", ""S012-FOD-01""]]]"
T015,B,U06,B02,1505.9694925601793,3060.540851687861,4516.326993610754,1.8210449428989826,0.5447387642752544,"[[""S010"", [""S010-FOD-01"", ""S010-MED-01"", ""S010-WAT-01""]]]"
T006,B,U05,B04,3813.131421767112,5002.7617075035505,6136.202584466431,1.077171254529726,0.7307071863675685,"[[""S011"", [""S011-FOD-01"", ""S011-MED-01"", ""S011-WAT-01""]]]"
T007,A,U01,A05,3902.1292515473606,6510.170148656282,7963.433611739873,3.299758141443201,0.26672041301262206,"[[""S003"", [""S003-MED-01"", ""S003-WAT-01""]], [""S015"", [""S015-MED-01""]]]"
T010_2,C,U07,C02,1434.4262775174655,2867.4613603954576,4315.234553593916,2.268701021040459,0.7164123723699427,"[[""S006"", [""S006-HYG-01"", ""S006-WAT-02"", ""S006-WAT-03"", ""S006-MED-01""]]]"
T008,B,U05,B01,1949.0245440219892,3793.5634341775567,5382.225397256938,2.127681453260112,0.468079636684972,"[[""S014"", [""S014-FOD-01"", ""S014-MED-01"", ""S014-WAT-01""]]]"
T012,C,U08,C01,1954.111640235256,4069.193281513709,6561.858998965377,6.126765725975389,0.23415428425307638,"[[""S002"", [""S002-FOD-01"", ""S002-FOD-02"", ""S002-HYG-01"", ""S002-WAT-02"", ""S002-WAT-03"", ""S002-WAT-04""]]]"
T014_1,A,U02,A03,4004.1292515473606,5699.887356215825,6815.081680695524,2.1295188155066476,0.5267735965540783,"[[""S005"", [""S005-MED-01"", ""S005-WAT-01""]]]"
T014_2,C,U07,C03,2952.606730665684,5257.790795633526,7764.037455028012,6.1769107423796425,0.22788615720254468,"[[""S004"", [""S004-MED-01"", ""S004-FOD-01"", ""S004-HYG-01"", ""S004-WAT-01"", ""S004-WAT-02"", ""S004-WAT-03""]]]"
T016,A,U03,A01,4290.571699071648,5986.329803740113,7122.306115896315,2.2014564651560833,0.5107874521875371,"[[""S005"", [""S005-FOD-01"", ""S005-WAT-02""]]]"
T013,B,U06,B03,3065.540951687861,5023.582223174855,6982.827850660446,2.982874524966748,0.254281368758313,"[[""S008"", [""S008-FOD-01"", ""S008-MED-01"", ""S008-WAT-01""]]]"
T021,B,U06,B02,5028.582323174855,6926.62359466185,8793.805746579459,2.7704203505790983,0.3073949123552254,"[[""S008"", [""S008-HYG-01"", ""S008-WAT-02""]]]"
T018,C,U08,C04,4320.234653593916,7007.865530964533,9571.026498035086,6.387055878414353,0.20161801519820588,"[[""S007"", [""S007-HYG-01""]], [""S003"", [""S003-FOD-01"", ""S003-FOD-02"", ""S003-HYG-01"", ""S003-WAT-02"", ""S003-WAT-03"", ""S003-WAT-04""]]]"
T019_1,B,U05,B01,5387.225497256939,6906.249841668794,8370.931925607285,1.8415740398580562,0.539606490035486,"[[""S005"", [""S005-HYG-01"", ""S005-WAT-03""]]]"
T022,C,U07,C02,5262.790895633525,6843.695936366221,8691.0803667921,3.7441886661878656,0.5319764167265169,"[[""S009"", [""S009-FOD-01"", ""S009-WAT-01""]]]"
T020,A,U04,A06,3922.1292515473606,5892.3390985241795,7132.339749211255,2.5615407139167994,0.4307687302407113,"[[""S015"", [""S015-FOD-01"", ""S015-WAT-01""]]]"
