box,sortie,zone,delivered_s
S001-FOD-01,T005,S001,1248.898
S001-FOD-02,T005,S001,1248.898
S001-FOD-03,T005,S001,1248.898
S001-HYG-01,T002,S001,1314.898
S001-HYG-02,T002,S001,1314.898
S001-MED-01,T002,S001,1314.898
S001-MED-02,T002,S001,1314.898
S001-WAT-01,T005,S001,1248.898
S001-WAT-02,T002,S001,1314.898
S001-WAT-03,T002,S001,1314.898
S001-WAT-04,T002,S001,1314.898
S001-WAT-05,T002,S001,1314.898
S001-WAT-06,T005,S001,1248.898
S001-WAT-07,T005,S001,1248.898
S001-WAT-08,T005,S001,1248.898
S002-FOD-01,T010,S002,3052.377
S002-FOD-02,T010,S002,3052.377
S002-HYG-01,T010,S002,3052.377
S002-MED-01,T001,S002,1557.874
S002-WAT-01,T001,S002,1557.874
S002-WAT-02,T010,S002,3052.377
S002-WAT-03,T010,S002,3052.377
S002-WAT-04,T010,S002,3052.377
S003-FOD-01,T016,S003,5677.389
S003-FOD-02,T016,S003,5677.389
S003-HYG-01,T016,S003,5677.389
S003-MED-01,T007,S003,1409.112
S003-WAT-01,T017,S003,5765.547
S003-WAT-02,T016,S003,5677.389
S003-WAT-03,T016,S003,5677.389
S003-WAT-04,T016,S003,5677.389
S004-FOD-01,T014,S004,5262.07
S004-HYG-01,T014,S004,5262.07
S004-MED-01,T014,S004,5262.07
S004-WAT-01,T014,S004,5262.07
S004-WAT-02,T014,S004,5262.07
S004-WAT-03,T014,S004,5262.07
S005-FOD-01,T018,S005,7830.361
S005-HYG-01,T018,S005,7830.361
S005-MED-01,T018,S005,7830.361
S005-WAT-01,T018,S005,7830.361
S005-WAT-02,T018,S005,7830.361
S005-WAT-03,T018,S005,7830.361
S006-FOD-01,T011,S006,2796.589
S006-HYG-01,T011,S006,2796.589
S006-MED-01,T006,S006,936.77
S006-WAT-01,T006,S006,936.77
S006-WAT-02,T011,S006,2796.589
S006-WAT-03,T011,S006,2796.589
S007-FOD-01,T011,S007,3481.372
S007-HYG-01,T011,S007,3481.372
S007-MED-01,T008,S007,1133.861
S007-WAT-01,T008,S007,1133.861
S007-WAT-02,T011,S007,3481.372
S008-FOD-01,T012,S008,3203.597
S008-HYG-01,T019,S008,7193.634
S008-MED-01,T012,S008,3203.597
S008-WAT-01,T012,S008,3203.597
S008-WAT-02,T019,S008,7193.634
S009-FOD-01,T020,S009,7529.673
S009-MED-01,T001,S009,1127.357
S009-WAT-01,T020,S009,7529.673
S010-FOD-01,T013,S010,3744.813
S010-MED-01,T003,S010,1054.822
S010-WAT-01,T003,S010,1054.822
S011-FOD-01,T004,S011,1631.721
S011-MED-01,T018,S011,7114.604
S011-WAT-01,T018,S011,7114.604
S012-FOD-01,T015,S012,5064.333
S012-MED-01,T009,S012,2661.264
S012-WAT-01,T009,S012,2661.264
S013-FOD-01,T015,S013,5521.435
S013-MED-01,T004,S013,1028.018
S013-WAT-01,T004,S013,1028.018
S014-FOD-01,T003,S014,1492.568
S014-MED-01,T013,S014,3307.107
S014-WAT-01,T013,S014,3307.107
S015-FOD-01,T007,S015,1896.376
S015-MED-01,T007,S015,1896.376
S015-WAT-01,T017,S015,5342.788
