partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P3,G1,A_aircraft,G1-A_aircraft-01,T004,0.0,2281.4599588363917,T007,0.5400411636082936,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-01,T007,2282.0,4890.040897108922,,,U01,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T005,0.0,1312.470877312685,T002,16.529122687315066,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T002,1329.0,3927.128190684848,T020,0.8718093151519497,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-02,T020,3928.0,5898.209846976819,,,U02,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T011,0.0,2130.6390887595826,T014,22.36091124041741,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T014,2153.0,4633.949414940517,T016,0.050585059482727956,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-03,T016,4634.0,6329.7581046684645,,,U03,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T017,0.0,2343.847074711972,T022,1145.1529252880282,U04,existing
P3,G1,A_aircraft,G1-A_aircraft-04,T022,3489.0,5180.534486238949,,,U04,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T008,0.0,1844.5388901555675,T013,0.46110984443248526,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T013,1845.0,3803.041271486995,T021,0.9587285130050986,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-01,T021,3804.0,5702.041271486994,,,U05,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T015,0.0,1554.5713591276817,T009,0.4286408723182831,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T009,1555.0,2824.9799172692683,T023,1376.0200827307317,U06,existing
P3,G1,B_aircraft,G1-B_aircraft-02,T023,4201.0,5720.024344411855,,,U06,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,T010,163.57382248253452,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T010,1725.0,4129.5978829102805,T019,0.4021170897194679,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-01,T019,4130.0,6369.184064967842,,,U07,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,T012,0.5738224825345242,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T012,1430.0,3545.081641278453,T018,0.9183587215470652,U08,existing
P3,G1,C_aircraft,G1-C_aircraft-02,T018,3546.0,5981.809520857649,,,U08,existing
P3,G1,A_batteries,G1-A_batteries-01,T004,0.0,3649.403580614774,T016,984.596419385226,A01,existing
P3,G1,A_batteries,G1-A_batteries-01,T016,4634.0,7465.734416824666,,,A01,existing
P3,G1,A_batteries,G1-A_batteries-02,T005,0.0,2178.7887122874713,T007,103.2112877125287,A02,existing
P3,G1,A_batteries,G1-A_batteries-02,T007,2282.0,6343.304360192513,,,A02,existing
P3,G1,A_batteries,G1-A_batteries-03,T011,0.0,3488.424083728015,T022,0.5759162719850792,A03,existing
P3,G1,A_batteries,G1-A_batteries-03,T022,3489.0,6356.028992918405,,,A03,existing
P3,G1,A_batteries,G1-A_batteries-04,T017,0.0,3707.4110579615462,T020,220.58894203845375,A04,existing
P3,G1,A_batteries,G1-A_batteries-04,T020,3928.0,7138.210497663895,,,A04,existing
P3,G1,A_batteries,G1-A_batteries-05,T002,1329.0,5423.080232101528,,,A05,existing
P3,G1,A_batteries,G1-A_batteries-06,T014,2153.0,6041.865329852893,,,A06,existing
P3,G1,B_batteries,G1-B_batteries-01,T008,0.0,3433.200853234949,T023,767.7991467650509,B01,existing
P3,G1,B_batteries,G1-B_batteries-01,T023,4201.0,7184.706428350346,,,B01,existing
P3,G1,B_batteries,G1-B_batteries-02,T015,0.0,3010.3575010505742,T021,793.6424989494258,B02,existing
P3,G1,B_batteries,G1-B_batteries-02,T021,3804.0,7569.223423404604,,,B02,existing
P3,G1,B_batteries,G1-B_batteries-03,T009,1555.0,4021.992001224441,,,B03,existing
P3,G1,B_batteries,G1-B_batteries-04,T013,1845.0,5762.286898972586,,,B04,existing
P3,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,T019,979.9071462370484,C01,existing
P3,G1,C_batteries,G1-C_batteries-01,T019,4130.0,8837.86184638789,,,C01,existing
P3,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,T018,598.393369334316,C02,existing
P3,G1,C_batteries,G1-C_batteries-02,T018,3546.0,8480.163800832162,,,C02,existing
P3,G1,C_batteries,G1-C_batteries-03,T012,1430.0,6037.747358730121,,,C03,existing
P3,G1,C_batteries,G1-C_batteries-04,T010,1725.0,6211.472794610201,,,C04,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R003,2.0421667087841797,2472.20132134867,R001,0.9360976807388397,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-01,R001,2473.1374190294086,6631.297538856334,,,R01,existing
P3,G1,relay_aircraft,G1-relay_aircraft-02,R002,83.49083744349923,6690.534653380882,,,R02,existing
P3,G1,relay_components,G1-relay_components-01,R003,2.0421667087841797,2903.8721254502975,,,RE01,existing
P3,G1,relay_components,G1-relay_components-02,R002,83.49083744349923,7640.401271705988,,,RE02,existing
P3,G1,relay_components,G1-relay_components-03,R001,2473.1374190294086,7267.893137978243,,,RE03,existing
P3,G2,B_aircraft,G2-B_aircraft-01,T006,3011.0,4200.630285736439,,,NEW-B_aircraft-01,procurement_required
P3,G2,B_batteries,G2-B_batteries-01,T006,3011.0,5334.07116269932,,,NEW-B_batteries-01,procurement_required
P2,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P2,G1,B_aircraft,G1-B_aircraft-01,T006,3011.0,4200.630285736439,,,U05,existing
P2,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P2,G1,C_aircraft,G1-C_aircraft-02,T003,0.0,1429.4261775174655,,,U08,existing
P2,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P2,G1,B_batteries,G1-B_batteries-01,T006,3011.0,5334.07116269932,,,B01,existing
P2,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,,,C01,existing
P2,G1,C_batteries,G1-C_batteries-02,T003,0.0,2947.606630665684,,,C02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T004,0.0,2281.4599588363917,T007,0.5400411636082936,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-01,T007,2282.0,4890.040897108922,,,U02,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T011,0.0,2130.6390887595826,T014,22.36091124041741,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T014,2153.0,4633.949414940517,T016,0.050585059482727956,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-02,T016,4634.0,6329.7581046684645,,,U03,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T017,0.0,2343.847074711972,T022,1145.1529252880282,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-03,T022,3489.0,5180.534486238949,,,U04,existing
P2,G2,A_aircraft,G2-A_aircraft-04,T002,1329.0,3927.128190684848,T020,0.8718093151519497,NEW-A_aircraft-01,procurement_required
P2,G2,A_aircraft,G2-A_aircraft-04,T020,3928.0,5898.209846976819,,,NEW-A_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-01,T008,0.0,1844.5388901555675,T013,0.46110984443248526,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T013,1845.0,3803.041271486995,T021,0.9587285130050986,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-01,T021,3804.0,5702.041271486994,,,U06,existing
P2,G2,B_aircraft,G2-B_aircraft-02,T015,0.0,1554.5713591276817,T009,0.4286408723182831,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T009,1555.0,2824.9799172692683,T023,1376.0200827307317,NEW-B_aircraft-01,procurement_required
P2,G2,B_aircraft,G2-B_aircraft-02,T023,4201.0,5720.024344411855,,,NEW-B_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T012,1430.0,3545.081641278453,T018,0.9183587215470652,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-01,T018,3546.0,5981.809520857649,,,NEW-C_aircraft-01,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T010,1725.0,4129.5978829102805,T019,0.4021170897194679,NEW-C_aircraft-02,procurement_required
P2,G2,C_aircraft,G2-C_aircraft-02,T019,4130.0,6369.184064967842,,,NEW-C_aircraft-02,procurement_required
P2,G2,A_batteries,G2-A_batteries-01,T004,0.0,3649.403580614774,T016,984.596419385226,A02,existing
P2,G2,A_batteries,G2-A_batteries-01,T016,4634.0,7465.734416824666,,,A02,existing
P2,G2,A_batteries,G2-A_batteries-02,T011,0.0,3488.424083728015,T022,0.5759162719850792,A03,existing
P2,G2,A_batteries,G2-A_batteries-02,T022,3489.0,6356.028992918405,,,A03,existing
P2,G2,A_batteries,G2-A_batteries-03,T017,0.0,3707.4110579615462,T020,220.58894203845375,A04,existing
P2,G2,A_batteries,G2-A_batteries-03,T020,3928.0,7138.210497663895,,,A04,existing
P2,G2,A_batteries,G2-A_batteries-04,T002,1329.0,5423.080232101528,,,A05,existing
P2,G2,A_batteries,G2-A_batteries-05,T014,2153.0,6041.865329852893,,,A06,existing
P2,G2,A_batteries,G2-A_batteries-06,T007,2282.0,6343.304360192513,,,NEW-A_batteries-01,procurement_required
P2,G2,B_batteries,G2-B_batteries-01,T008,0.0,3433.200853234949,T023,767.7991467650509,B02,existing
P2,G2,B_batteries,G2-B_batteries-01,T023,4201.0,7184.706428350346,,,B02,existing
P2,G2,B_batteries,G2-B_batteries-02,T015,0.0,3010.3575010505742,T021,793.6424989494258,B03,existing
P2,G2,B_batteries,G2-B_batteries-02,T021,3804.0,7569.223423404604,,,B03,existing
P2,G2,B_batteries,G2-B_batteries-03,T009,1555.0,4021.992001224441,,,B04,existing
P2,G2,B_batteries,G2-B_batteries-04,T013,1845.0,5762.286898972586,,,NEW-B_batteries-01,procurement_required
P2,G2,C_batteries,G2-C_batteries-01,T012,1430.0,6037.747358730121,,,C03,existing
P2,G2,C_batteries,G2-C_batteries-02,T010,1725.0,6211.472794610201,,,C04,existing
