sortie,drone,model,battery,start_s,visits,return_s,energy_kwh,return_soc_pct,boxes
T001,U08,C,C03,0.0,S001,1495.426,2.621086,67.236,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-WAT-06;S001-WAT-07;S001-WAT-08
T003,U03,A,A01,0.0,S013,1602.593,1.953925,56.579,S013-MED-01;S013-WAT-01
T004,U07,C,C02,0.0,S001,1495.426,2.672703,66.591,S001-HYG-01;S001-HYG-02;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05
T005,U04,A,A06,0.0,S009→S002,2281.46,3.00442,33.235,S009-MED-01;S002-MED-01;S002-WAT-01
T007,U02,A,A04,0.0,S001,1312.471,1.268023,71.822,S001-MED-01;S001-MED-02;S001-WAT-01
T008,U06,B,B04,0.0,S011,1189.63,1.077171,73.071,S011-FOD-01;S011-MED-01;S011-WAT-01
T010,U01,A,A02,0.0,S003→S015,2608.041,3.299758,26.672,S003-MED-01;S003-WAT-01;S015-MED-01
T012,U05,B,B02,0.0,S014→S010,2107.281,2.322729,41.932,S014-MED-01;S014-WAT-01;S010-FOD-01
T002,U06,B,B01,1189.63,S006,2459.61,1.223874,69.403,S006-FOD-01;S006-MED-01;S006-WAT-01
T011,U02,A,A03,1312.471,S007,3024.913,1.899072,57.798,S007-MED-01;S007-WAT-01
T013,U07,C,C01,1495.426,S006→S007,3834.024,4.075608,49.055,S006-HYG-01;S006-WAT-02;S006-WAT-03;S007-FOD-01;S007-HYG-01;S007-WAT-02
T014,U08,C,C04,1495.426,S002,3610.508,6.126766,23.415,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
T006,U03,A,A05,1602.593,S012,3733.232,2.969256,34.017,S012-MED-01;S012-WAT-01
T016,U05,B,B03,2107.281,S008,4065.322,2.982875,25.428,S008-FOD-01;S008-MED-01;S008-WAT-01
T015,U04,A,A04,2281.46,S005→S004,4762.409,3.142786,30.16,S005-MED-01;S005-WAT-01;S004-MED-01
T009,U06,B,B04,2459.61,S010→S014,4566.891,2.265766,43.356,S010-MED-01;S010-WAT-01;S014-FOD-01
T024,U01,A,A01,2667.06,S009,4358.594,2.33825,48.039,S009-FOD-01;S009-WAT-01
T019,U08,C,C02,3610.508,S003,6046.317,6.14777,23.153,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
T017,U02,A,A06,3649.404,S013→S012,5993.251,2.98926,33.572,S013-FOD-01;S012-FOD-01
T025,U07,C,C03,3834.024,S004,6073.208,6.038195,24.523,S004-FOD-01;S004-HYG-01;S004-WAT-01;S004-WAT-02;S004-WAT-03
T021,U03,A,A02,4061.304,S015,6031.514,2.561541,43.077,S015-FOD-01;S015-WAT-01
T022,U05,B,B02,4065.322,S008,5963.364,2.77042,30.739,S008-HYG-01;S008-WAT-02
T020,U01,A,A03,4358.594,S005,6054.352,2.201456,51.079,S005-FOD-01;S005-WAT-02
T018,U06,B,B01,4566.891,S005,6085.916,1.841574,53.961,S005-HYG-01;S005-WAT-03
