partition,group,resource_type,resource_id,physical_id,inventory_status
P12345_6,G1,A_aircraft,G1-A_aircraft-01,U01,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-02,U02,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-03,U03,existing
P12345_6,G1,A_aircraft,G1-A_aircraft-04,U04,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-01,U05,existing
P12345_6,G1,B_aircraft,G1-B_aircraft-02,U06,existing
P12345_6,G2,B_aircraft,G2-B_aircraft-01,NEW-B_aircraft-01,procurement_required
P12345_6,G1,C_aircraft,G1-C_aircraft-01,U07,existing
P12345_6,G1,C_aircraft,G1-C_aircraft-02,U08,existing
P12345_6,G1,A_batteries,G1-A_batteries-01,A01,existing
P12345_6,G1,A_batteries,G1-A_batteries-02,A02,existing
P12345_6,G1,A_batteries,G1-A_batteries-03,A03,existing
P12345_6,G1,A_batteries,G1-A_batteries-04,A04,existing
P12345_6,G1,A_batteries,G1-A_batteries-05,A05,existing
P12345_6,G1,B_batteries,G1-B_batteries-01,B01,existing
P12345_6,G1,B_batteries,G1-B_batteries-02,B02,existing
P12345_6,G1,B_batteries,G1-B_batteries-03,B03,existing
P12345_6,G1,B_batteries,G1-B_batteries-04,B04,existing
P12345_6,G2,B_batteries,G2-B_batteries-01,NEW-B_batteries-01,procurement_required
P12345_6,G1,C_batteries,G1-C_batteries-01,C01,existing
P12345_6,G1,C_batteries,G1-C_batteries-02,C02,existing
P12345_6,G1,C_batteries,G1-C_batteries-03,C03,existing
P12345_6,G1,C_batteries,G1-C_batteries-04,C04,existing
P12345_6,G1,relay_aircraft,G1-relay_aircraft-01,R01,existing
P12345_6,G1,relay_aircraft,G1-relay_aircraft-02,R02,existing
P12345_6,G1,relay_components,G1-relay_components-01,RE01,existing
P12345_6,G1,relay_components,G1-relay_components-02,RE02,existing
P12345_6,G1,relay_components,G1-relay_components-03,RE03,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-01,U01,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-02,U02,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-03,U03,existing
P12346_5,G1,A_aircraft,G1-A_aircraft-04,U04,existing
P12346_5,G1,B_aircraft,G1-B_aircraft-01,U05,existing
P12346_5,G1,B_aircraft,G1-B_aircraft-02,U06,existing
P12346_5,G2,B_aircraft,G2-B_aircraft-01,NEW-B_aircraft-01,procurement_required
P12346_5,G2,B_aircraft,G2-B_aircraft-02,NEW-B_aircraft-02,procurement_required
P12346_5,G1,C_aircraft,G1-C_aircraft-01,U07,existing
P12346_5,G1,C_aircraft,G1-C_aircraft-02,U08,existing
P12346_5,G1,A_batteries,G1-A_batteries-01,A01,existing
P12346_5,G1,A_batteries,G1-A_batteries-02,A02,existing
P12346_5,G1,A_batteries,G1-A_batteries-03,A03,existing
P12346_5,G1,A_batteries,G1-A_batteries-04,A04,existing
P12346_5,G1,A_batteries,G1-A_batteries-05,A05,existing
P12346_5,G1,B_batteries,G1-B_batteries-01,B01,existing
P12346_5,G1,B_batteries,G1-B_batteries-02,B02,existing
P12346_5,G1,B_batteries,G1-B_batteries-03,B03,existing
P12346_5,G1,B_batteries,G1-B_batteries-04,B04,existing
P12346_5,G2,B_batteries,G2-B_batteries-01,NEW-B_batteries-01,procurement_required
P12346_5,G2,B_batteries,G2-B_batteries-02,NEW-B_batteries-02,procurement_required
P12346_5,G2,B_batteries,G2-B_batteries-03,NEW-B_batteries-03,procurement_required
P12346_5,G2,B_batteries,G2-B_batteries-04,NEW-B_batteries-04,procurement_required
P12346_5,G1,C_batteries,G1-C_batteries-01,C01,existing
P12346_5,G1,C_batteries,G1-C_batteries-02,C02,existing
P12346_5,G1,C_batteries,G1-C_batteries-03,C03,existing
P12346_5,G1,C_batteries,G1-C_batteries-04,C04,existing
P12346_5,G1,relay_aircraft,G1-relay_aircraft-01,R01,existing
P12346_5,G1,relay_aircraft,G1-relay_aircraft-02,R02,existing
P12346_5,G2,relay_aircraft,G2-relay_aircraft-01,NEW-relay_aircraft-01,procurement_required
P12346_5,G1,relay_components,G1-relay_components-01,RE01,existing
P12346_5,G1,relay_components,G1-relay_components-02,RE02,existing
P12346_5,G2,relay_components,G2-relay_components-01,RE03,existing
P1234_56,G1,A_aircraft,G1-A_aircraft-01,U01,existing
P1234_56,G1,A_aircraft,G1-A_aircraft-02,U02,existing
P1234_56,G1,A_aircraft,G1-A_aircraft-03,U03,existing
P1234_56,G1,A_aircraft,G1-A_aircraft-04,U04,existing
P1234_56,G1,B_aircraft,G1-B_aircraft-01,U05,existing
P1234_56,G1,B_aircraft,G1-B_aircraft-02,U06,existing
P1234_56,G2,B_aircraft,G2-B_aircraft-01,NEW-B_aircraft-01,procurement_required
P1234_56,G2,B_aircraft,G2-B_aircraft-02,NEW-B_aircraft-02,procurement_required
P1234_56,G1,C_aircraft,G1-C_aircraft-01,U07,existing
P1234_56,G1,C_aircraft,G1-C_aircraft-02,U08,existing
P1234_56,G1,A_batteries,G1-A_batteries-01,A01,existing
P1234_56,G1,A_batteries,G1-A_batteries-02,A02,existing
P1234_56,G1,A_batteries,G1-A_batteries-03,A03,existing
P1234_56,G1,A_batteries,G1-A_batteries-04,A04,existing
P1234_56,G1,A_batteries,G1-A_batteries-05,A05,existing
P1234_56,G1,B_batteries,G1-B_batteries-01,B01,existing
P1234_56,G1,B_batteries,G1-B_batteries-02,B02,existing
P1234_56,G1,B_batteries,G1-B_batteries-03,B03,existing
P1234_56,G2,B_batteries,G2-B_batteries-01,B04,existing
P1234_56,G2,B_batteries,G2-B_batteries-02,NEW-B_batteries-01,procurement_required
